År;Kvartal;Befolkningsförändring_Kvartal;Befolkningsförändring_Kvartal_Riket;Födda_barn_Kvartal;Födda_barn_Kvartal_Riket;Döda_Kvartal;Döda_Kvartal_Riket;Inflyttning_Kvartal;Inflyttning_Kvartal_Riket;Utflyttning_Kvartal;Utflyttning_Kvartal_Riket;Befolkning_Kvartal;Befolkning_Kvartal_Riket;Befolkningsförändring_R12;Befolkningsförändring_R12_Riket;Födda_barn_R12;Födda_barn_R12_Riket;Döda_R12;Döda_R12_Riket;Inflyttning_R12;Inflyttning_R12_Riket;Utflyttning_R12;Utflyttning_R12_Riket;Befolkning_R12;Befolkning_R12_Riket
2020;1;274;15814;447;28262;340;24442;2046;20828;1887;12001;163325;10343403;;;;;;;;;;;163325;10343403
2020;2;-244;8987;456;29991;364;26844;1704;12607;2041;8971;163081;10352390;;;;;;;;;;;163081;10352390
2020;3;1392;20835;495;29388;243;20775;3990;25059;2862;13516;164473;10373225;;;;;;;;;;;164473;10373225
2020;4;143;6070;388;25401;387;25688;1874;15085;1846;13388;164616;10379295;1565.0;51706.0;1786.0;113042.0;1334.0;97749.0;9614.0;73579.0;8636.0;47876.0;164616;10379295
2021;1;68;10511;454;28097;348;25538;1808;12982;1977;11907;164684;10389806;1359.0;46403.0;1793.0;112877.0;1342.0;98845.0;9376.0;65733.0;8726.0;47782.0;164684;10389806
2021;2;-441;19442;496;30344;267;21118;1580;13921;2340;10984;164243;10409248;1162.0;56858.0;1833.0;113230.0;1245.0;93119.0;9252.0;67047.0;9025.0;49795.0;164243;10409248
2021;3;1165;26199;465;29812;312;21147;4117;24433;3213;13140;165408;10435447;935.0;62222.0;1803.0;113654.0;1314.0;93491.0;9379.0;66421.0;9376.0;49419.0;165408;10435447
2021;4;119;16879;426;25949;346;23715;1885;17036;2067;11411;165527;10452326;911.0;73031.0;1841.0;114202.0;1273.0;91518.0;9390.0;68372.0;9597.0;47442.0;165527;10452326
2022;1;30;16156;403;26644;360;25453;1935;18374;2030;10522;165557;10468482;873.0;78676.0;1790.0;112749.0;1285.0;91433.0;9517.0;73764.0;9650.0;46057.0;165557;10468482
2022;2;-524;19377;422;27902;267;21602;1771;19362;2449;10483;165033;10487859;790.0;78611.0;1716.0;110307.0;1285.0;91917.0;9708.0;79205.0;9759.0;45556.0;165033;10487859
2022;3;1179;20810;419;26968;269;22266;4200;27233;3225;15711;166212;10508669;804.0;73222.0;1670.0;107463.0;1242.0;93036.0;9791.0;82005.0;9771.0;48127.0;166212;10508669
2022;4;461;12887;365;23175;349;25006;2080;20366;1751;12422;166673;10521556;1146.0;69230.0;1609.0;104689.0;1245.0;94327.0;9986.0;85335.0;9455.0;49138.0;166673;10521556
2023;1;250;11711;393;24924;349;24972;2039;20440;1864;12582;166923;10533267;1366.0;64785.0;1599.0;102969.0;1234.0;93846.0;10090.0;87401.0;9289.0;51198.0;166923;10533267
2023;2;-364;12043;428;26652;291;21871;1816;19210;2304;12271;166559;10545310;1526.0;57451.0;1605.0;101719.0;1258.0;94115.0;10135.0;87249.0;9144.0;52986.0;166559;10545310
2023;3;898;12512;383;25670;294;20938;4070;31267;3258;23356;167457;10557822;1245.0;49153.0;1569.0;100421.0;1283.0;92787.0;10005.0;91283.0;9177.0;60631.0;167457;10557822
2023;4;-53;-6115;352;22780;326;26225;1817;19190;1878;20615;167404;10551707;731.0;30151.0;1556.0;100026.0;1260.0;94006.0;9742.0;90107.0;9304.0;68824.0;167404;10551707
2024;1;68;-2885;446;24622;318;24234;1921;18291;1967;21076;167472;10548822;549.0;15555.0;1609.0;99724.0;1229.0;93268.0;9624.0;87958.0;9407.0;77318.0;167472;10548822
2024;2;-705;4519;411;25917;274;21217;1685;22800;2516;22691;166767;10553341;208.0;8031.0;1592.0;98989.0;1212.0;92614.0;9493.0;91548.0;9619.0;87738.0;166767;10553341
2024;3;1227;29235;412;25474;272;21637;4440;45689;3364;21131;167994;10582576;537.0;24754.0;1621.0;98793.0;1190.0;93313.0;9863.0;105970.0;9725.0;85513.0;167994;10582576
2024;4;41;5134;332;22419;313;23803;1802;26203;1781;20291;168035;10587710;631.0;36003.0;1601.0;98432.0;1177.0;90891.0;9848.0;112983.0;9628.0;85189.0;168035;10587710
2025;1;89;-12;343;23906;349;24828;1959;18720;1880;18676;168124;10587696;652.0;38876.0;1498.0;97716.0;1208.0;91485.0;9886.0;113412.0;9541.0;82789.0;168124;10587696
2025;2;-685;4990;436;25793;307;22037;1647;18050;2449;16625;167439;10592686;672.0;39347.0;1523.0;97592.0;1241.0;92305.0;9848.0;108662.0;9474.0;76723.0;167439;10592686
2025;3;1298;16774;376;25689;280;21335;4476;32664;3279;21104;168737;10609460;743.0;26886.0;1487.0;97807.0;1249.0;92003.0;9884.0;95637.0;9389.0;76696.0;168737;10609460
2025;4;-24;-3931;340;22086;319;23599;1842;16898;1895;19947;168713;10605529;678.0;17821.0;1495.0;97474.0;1255.0;91799.0;9924.0;86332.0;9503.0;76352.0;168713;10605529
